NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=4.837s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, arp,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:01,arp_spa=10.0.0.2,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=4.702s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, arp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:01,arp_spa=10.0.0.3,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=4.506s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, arp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:02,arp_spa=10.0.0.3,arp_tpa=10.0.0.2,arp_op=2 actions=output:2
 cookie=0x0, duration=4.793s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=4.752s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.2,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=4.659s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.1,nw_dst=10.0.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3
 cookie=0x0, duration=4.617s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.3,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=4.572s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.2,nw_dst=10.0.0.1,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=4.510s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=4.465s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.2,nw_dst=10.0.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3
 cookie=0x0, duration=4.422s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.3,nw_dst=10.0.0.2,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=4.372s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.3,nw_dst=10.0.0.1,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=4.330s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.1,nw_dst=10.0.0.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:3
 cookie=0x0, duration=4.283s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.3,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=4.241s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.2,nw_dst=10.0.0.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:3
 cookie=0x0, duration=3.122s, table=0, n_packets=2, n_bytes=148, idle_timeout=30, hard_timeout=60, idle_age=1, tcp,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,tp_src=49130,tp_dst=80 actions=output:2
