NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=5.183s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=5, arp,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:01,arp_spa=10.0.0.2,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=4.994s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, arp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:01,arp_spa=10.0.0.3,arp_tpa=10.0.0.1,arp_op=2 actions=output:1
 cookie=0x0, duration=4.769s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, arp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:02,arp_spa=10.0.0.3,arp_tpa=10.0.0.2,arp_op=2 actions=output:2
 cookie=0x0, duration=5.131s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=5, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=5.088s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=5, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.2,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=4.951s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.1,nw_dst=10.0.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3
 cookie=0x0, duration=4.910s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.3,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=4.861s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.2,nw_dst=10.0.0.1,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=4.820s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=4.727s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.2,nw_dst=10.0.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:3
 cookie=0x0, duration=4.683s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.3,nw_dst=10.0.0.2,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=4.636s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.3,nw_dst=10.0.0.1,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=4.594s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.1,nw_dst=10.0.0.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:3
 cookie=0x0, duration=4.547s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.3,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=4.504s, table=0, n_packets=0, n_bytes=0, idle_timeout=30, hard_timeout=60, idle_age=4, icmp,vlan_tci=0x0000,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.2,nw_dst=10.0.0.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:3
 cookie=0x0, duration=3.196s, table=0, n_packets=2, n_bytes=148, idle_timeout=30, hard_timeout=60, idle_age=1, tcp,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,tp_src=39448,tp_dst=80 actions=output:2
